ID,study.area,zone,sector,subsector,total.lithics,area.sqm,assemblage,predicted.period,MP_ubiq,UP_ubiq,EPI_ubiq,MESO_ubiq,ENEOL_ubiq,LNEOL_ubiq,density.km2,MP_int,UP_int,EPI_int,MESO_int,ENEOL_int,LNEOL_int
71,Cocina/Catadau,0,2,0,1,2920.311768,Cocina/Catadau-0-2-0,NA,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,3.4242919230670307e-7,7.428887626235367e-13,2.3772440403953175e-12,1.4857775252470735e-11,1.6980314574252268e-11,2.3772440403953176e-11,4.9525917508235786e-11
73,Cocina/Catadau,0,2,0,2,5220.678223,Cocina/Catadau-0-2-0,NA,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,3.83091988161401e-7,8.311053480548797e-13,2.659537113775615e-12,1.6622106961097594e-11,1.899669366982582e-11,2.659537113775615e-11,5.5407023203658645e-11
74,Cocina/Catadau,0,2,0,2,5985.114746,Cocina/Catadau-0-2-0,NA,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,3.3416234857262335e-7,7.249541196363466e-13,2.319853182836309e-12,1.449908239272693e-11,1.6570379877402208e-11,2.319853182836309e-11,4.83302746424231e-11
83,Cocina/Catadau,0,3,0,1,11083.40112,Cocina/Catadau-0-3-0,NA,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,9.022501208545991e-8,1.9574016787046258e-13,6.263685371854802e-13,3.914803357409251e-12,4.4740609798962874e-12,6.2636853718548025e-12,1.3049344524697504e-11
84,Cocina/Catadau,0,3,0,5,11375.8418,Cocina/Catadau-0-3-0,NA,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,4.3952791256291905e-7,9.535412121345044e-13,3.0513318788304145e-12,1.907082424269009e-11,2.179522770593153e-11,3.051331878830414e-11,6.35694141423003e-11
94,Cocina/Catadau,0,6,0,2,5064.284912,Cocina/Catadau-0-6-0,NA,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,3.949224885157883e-7,8.56771225751476e-13,2.7416679224047232e-12,1.713542451502952e-11,1.958334230289088e-11,2.7416679224047232e-11,5.7118081716765064e-11
98,Cocina/Catadau,0,6,0,2,5420.803711,Cocina/Catadau-0-6-0,NA,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,3.689489800085477e-7,8.004225614744725e-13,2.5613521967183122e-12,1.600845122948945e-11,1.829537283370223e-11,2.561352196718312e-11,5.336150409829817e-11
101,Cocina/Catadau,0,7,1,1,450.3955078,Cocina/Catadau-0-7-1,NA,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,2.220270812390194e-6,4.816803805174348e-12,1.5413772176557916e-11,9.633607610348697e-11,1.100983726896994e-10,1.5413772176557915e-10,3.211202536782899e-10
105,Cocina/Catadau,0,7,1,1,4707.81958,Cocina/Catadau-0-7-1,NA,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,2.1241255808702845e-7,4.608219917816971e-13,1.4746303737014306e-12,9.216439835633942e-12,1.0533074097867362e-11,1.4746303737014306e-11,3.0721466118779806e-11
106,Cocina/Catadau,0,7,4,1,9556.354736,Cocina/Catadau-0-7-4,ENEOL,0.09598723463183007,0.2801271525417096,0.031004603729603713,0.06789488508223804,0.41328460239107284,0.11170152162354584,1.0464241100561842e-7,1.2555419572045866e-11,1.1725272252041258e-10,8.110991216348804e-11,2.0299098485585096e-10,1.7298838890280092e-9,9.740597113070047e-10
